price,area,stories,basement,bedrooms,parking,bathrooms,airconditioning
110500,3880,1,yes,2,0,1,yes
79000,5000,1.5,yes,3,1,1,no
120000,10762,2,yes,3,1,1,yes
205000,8880,2,yes,3,2,3,yes
241500,10400,1,yes,3,2,2,yes
137000,9142,2,yes,4,1,2,no
140000,11310,1,yes,2,2,1,yes
180000,11317,2,yes,3,2,2,yes
277000,159000,1.5,yes,4,2,2,yes
76500,5350,1,yes,3,0,1,yes
235000,4750,1,yes,2,2,3,yes
173000,8366,2,yes,3,2,2,yes
158000,9350,NA,yes,3,1,2,yes
145000,8400,1,yes,3,1,2,yes
230000,8738,2,yes,4,2,2,yes
207500,8791,2,yes,3,2,2,yes
220000,8814,1,yes,3,2,3,yes
231500,12435,2,yes,3,2,2,yes
97000,12702,1,no,2,1,1,yes
176000,19296,NA,yes,3,2,2,yes
276000,9588,2,yes,3,3,2,yes
151000,8471,NA,yes,3,2,2,yes
130000,5500,1.5,yes,3,2,2,yes
73000,5232,1,yes,2,2,1,no
175500,12090,1,yes,3,2,2,yes
185000,11207,2,yes,3,2,3,yes
179500,8400,2.5,yes,4,1,2,yes
120500,6900,1,yes,2,1,1,yes
148000,7917,1,yes,3,1,2,yes
266000,10728,2,yes,3,3,2,yes
241500,39104,1,yes,2,2,2,yes
290000,11764,2,yes,4,3,2,yes
139000,9600,1,yes,3,1,3,yes
124500,8314,1,yes,2,1,1,yes
205000,7264,1.5,yes,3,2,2,no
201000,9196,1,yes,3,2,2,yes
141000,19138,1,yes,2,2,1,yes
415298,14450,1,yes,3,3,2,yes
192000,10005,2,yes,4,2,2,yes
228500,11287,2,yes,3,2,2,yes
185000,7200,1,yes,2,2,2,yes
207500,5063,1,yes,2,2,3,yes
244600,9612,1,yes,3,3,2,yes
179200,8012,1,yes,2,2,3,yes
164700,4251,2,yes,2,2,2,yes
159000,9786,1.5,yes,3,2,1,yes
88000,8125,1,yes,3,0,1,yes
122000,9819,1,yes,3,1,1,yes
153575,8730,2,yes,3,1,1,yes
233230,15611,2,yes,3,2,2,yes
135900,5687,2,yes,6,0,3,no
131000,11409,1.5,yes,3,1,1,yes
235000,16659,2,yes,3,2,3,yes
167000,9600,1,yes,3,2,2,yes
142500,7937,NA,yes,3,2,2,yes
152000,13710,1.5,yes,4,1,1,yes
239000,7399,2,yes,3,2,2,yes
175000,11700,2,yes,3,2,1,yes
158500,14000,1,yes,3,1,1,yes
157000,15750,1,yes,2,1,2,yes
267000,16226,2,yes,4,2,2,yes
205000,13704,1,yes,3,3,2,yes
149900,9800,1,yes,3,2,2,yes
295000,18386,2.5,yes,3,3,3,yes
305900,10386,1,yes,3,3,3,yes
225000,13474,2,yes,4,3,3,yes
89500,7920,1.5,yes,3,0,1,yes
82500,12342,1,yes,1,2,1,yes
360000,12378,1,yes,3,3,3,yes
165600,7685,2,yes,3,2,2,yes
132000,8000,1,yes,2,1,2,yes
119900,7800,1.5,yes,3,2,2,yes
375000,215245,1,yes,3,2,4,yes
178000,9600,2,yes,3,2,1,yes
188500,7795,2,yes,3,2,3,yes
260000,13005,2,yes,4,2,3,yes
270000,9000,2,yes,3,3,2,yes
260000,9900,2,yes,4,3,3,yes
187500,14115,NA,yes,3,2,3,yes
342643,16259,2,yes,4,3,3,yes
354000,12099,2,yes,4,3,3,yes
301000,10380,2,yes,4,2,3,yes
126175,5820,1,yes,3,1,2,yes
242000,11275,NA,yes,5,2,2,yes
87000,5000,1.5,yes,2,2,1,no
324000,10846,1,yes,1,2,3,yes
145250,11600,1,yes,3,1,1,yes
214500,11888,2.5,yes,5,2,2,no
78000,6402,2,yes,3,1,1,no
119000,10624,1,yes,6,1,2,yes
139000,8176,1,yes,3,1,2,yes
284000,10655,1,yes,3,3,3,yes
207000,8198,1,yes,2,2,3,yes
192000,9042,2,yes,3,2,3,yes
228950,164660,1.5,yes,3,2,4,yes
377426,14157,1,yes,3,3,3,yes
214000,9135,1,yes,3,2,3,yes
202500,14145,1,yes,3,2,3,yes
155000,12400,1,yes,3,1,1,yes
202900,14191,2,yes,4,2,2,yes
82000,8400,1,yes,2,1,1,yes
87500,8544,1,no,2,2,2,no
266000,8849,1,yes,2,2,2,yes
85000,2592,2,yes,3,1,1,yes
140200,6435,1.5,yes,3,1,1,yes
151500,12772,1,yes,2,1,1,yes
157500,17600,1,yes,3,2,3,yes
154000,2448,2,yes,2,2,3,yes
437154,20431,2,yes,4,3,3,yes
318061,7820,1,yes,2,2,2,yes
190000,5271,1,yes,2,2,2,yes
95000,9084,1.5,yes,3,1,1,no
105900,8520,1,yes,2,2,1,yes
140000,8400,1.5,yes,2,1,1,yes
177500,11249,1,yes,3,2,3,yes
173000,9248,1,yes,3,2,3,yes
134000,4224,1,yes,3,2,2,yes
130000,6930,NA,yes,3,1,1,yes
280000,12011,2,yes,3,2,3,yes
156000,7540,NA,yes,2,2,2,yes
145000,9144,1.5,yes,3,1,2,yes
198500,7301,NA,no,4,2,3,yes
118000,1680,2,yes,2,1,1,yes
190000,18800,2,yes,3,2,3,yes
147000,10690,2,yes,3,1,1,yes
159000,9500,1,yes,3,2,2,yes
165000,9150,NA,yes,3,1,1,yes
132000,7800,1,yes,2,1,1,yes
162000,9830,1,yes,3,2,2,yes
172400,8121,2,yes,3,2,2,yes
134432,17120,1.5,no,4,2,2,yes
125000,7175,1,yes,2,1,2,yes
123000,10634,1,yes,3,1,2,yes
219500,8200,2,yes,4,2,2,yes
61000,10020,1,yes,1,0,1,no
148000,8846,NA,yes,2,2,1,yes
340000,11143,2,yes,4,2,3,yes
394432,11394,1,yes,1,3,2,yes
179000,8123,2,yes,3,2,2,yes
127000,5000,1.5,yes,3,1,2,yes
187750,7200,1,yes,2,2,3,yes
213500,9245,2,yes,3,2,2,yes
76000,9000,1.5,yes,2,2,1,no
240000,53107,2,yes,3,2,3,yes
192000,3182,1,yes,2,2,2,yes
81000,8410,1.5,yes,5,0,1,yes
125000,7200,NA,yes,3,1,2,yes
191000,9382,1,yes,3,2,2,yes
426000,12474,2,yes,3,3,3,yes
119000,8405,1.5,yes,4,1,2,yes
215000,12209,2,yes,3,2,3,yes
106500,8339,1,no,3,1,1,yes
100000,7446,1,yes,2,0,1,yes
109000,10134,1.5,yes,2,1,1,yes
129000,9571,1,yes,3,1,2,yes
123000,7200,1,yes,2,2,1,yes
169500,7590,2,yes,4,1,2,yes
67000,8967,1,yes,2,1,1,yes
241000,8125,2,yes,2,2,3,yes
245500,14963,1,yes,1,2,2,yes
164990,8767,1,yes,3,2,2,yes
108000,10200,1,yes,2,1,1,yes
258000,12090,2,yes,4,2,2,yes
168000,10364,2,yes,3,2,2,yes
150000,9991,1,yes,3,2,3,yes
115000,10480,1.5,yes,3,1,1,yes
177000,15576,2,yes,4,1,2,yes
280000,14154,2,yes,3,3,2,yes
339750,10800,2,yes,3,3,3,yes
60000,9571,1,yes,3,1,1,yes
145000,34650,1,yes,3,2,2,no
222000,4403,1,yes,2,2,3,yes
115000,8960,1,yes,2,2,1,yes
228000,11228,2,yes,3,3,2,yes
181134,8899,1,yes,3,2,2,yes
149500,7844,2,yes,3,2,1,yes
239000,22420,2,yes,4,3,3,no
126000,8160,1.5,yes,3,1,2,no
142000,8450,1,yes,3,1,2,yes
206300,7060,NA,yes,2,4,4,yes
215000,16635,1,yes,3,2,2,yes
113000,21750,1,yes,2,2,1,yes
315000,9200,2,yes,4,3,3,yes
139000,9000,1,yes,2,1,2,yes
135000,3378,2,yes,3,1,1,yes
275000,12800,NA,yes,2,2,3,yes
109008,8593,1,yes,3,1,1,yes
195400,6762,1,yes,2,2,3,yes
175000,11457,1,yes,3,2,3,yes
85400,1680,2,yes,2,1,1,yes
79900,5586,1.5,yes,4,0,1,yes
122500,1920,2,yes,2,2,2,yes
181000,10839,2,yes,3,2,2,yes
81000,1890,NA,yes,1,0,2,yes
212000,10667,2,yes,3,2,3,yes
116000,4400,1.5,yes,2,2,1,yes
119000,6000,1.5,yes,2,1,1,yes
90350,4280,1,yes,2,1,1,no
110000,12354,1.5,yes,3,2,1,yes
555000,15431,1,yes,2,3,3,yes
118000,12108,1,yes,4,0,2,no
162900,6240,1.5,yes,3,2,2,yes
172500,3922,1,yes,2,3,2,yes
210000,8750,2,yes,4,2,3,yes
127500,9855,1,yes,3,2,1,yes
190000,16492,1,yes,2,2,2,yes
199900,11214,2,yes,4,2,2,yes
119500,8600,1.5,yes,3,1,2,yes
120000,6000,1.5,yes,2,1,1,yes
110000,5684,1,yes,2,1,1,yes
280000,70761,1,yes,2,2,3,yes
204000,9303,2,yes,3,2,3,yes
210000,9000,2,yes,3,2,2,yes
188000,9297,1,yes,4,2,4,yes
175500,9600,1,yes,3,2,1,yes
98000,4571,2,yes,4,3,1,no
256000,53227,1,yes,2,2,2,yes
161000,5100,2,yes,3,1,1,yes
110000,7015,1.5,yes,3,1,2,yes
263435,8004,2,yes,3,2,3,yes
155000,7200,2,yes,3,2,2,yes
62383,8281,1,yes,3,1,1,yes
188700,11988,2,yes,3,1,1,yes
124000,8430,1,yes,3,0,2,yes
178740,3072,1,yes,2,2,2,yes
167000,10628,1,yes,2,2,2,yes
146500,9480,2,yes,3,1,1,yes
250000,11428,1,yes,3,3,2,yes
187000,9291,2,yes,3,2,2,yes
212000,6820,1,yes,1,2,2,yes
190000,11952,2,yes,3,2,2,yes
148000,3675,NA,yes,2,2,2,yes
440000,14977,1,yes,2,3,3,yes
251000,5330,1,yes,2,2,3,yes
132500,8480,1,yes,2,2,2,yes
208900,13125,1,yes,3,2,3,yes
380000,13693,2,yes,3,3,2,yes
297000,10637,1,yes,3,3,3,yes
89471,5925,1,yes,2,2,1,yes
326000,16033,1,yes,3,3,3,yes
374000,11846,1,yes,2,3,3,yes
155000,2500,2,yes,4,1,2,yes
164000,4500,1,yes,2,2,3,yes
132500,7758,1,yes,3,1,2,yes
147000,9600,1,yes,3,1,1,yes
156000,10289,1,yes,3,2,2,yes
175000,12243,1,yes,3,2,2,yes
160000,10800,1.5,yes,3,2,2,no
86000,1526,NA,yes,1,1,2,yes
115000,2665,2,yes,3,1,1,yes
133000,9490,1.5,yes,3,1,2,yes
172785,15578,2,yes,3,2,2,yes
155000,7931,1,yes,3,1,1,yes
91300,5784,1,yes,2,1,1,yes
34900,7879,1,yes,2,0,1,no
430000,12692,1,yes,4,2,4,yes
184000,9120,1.5,yes,4,1,3,yes
130000,7800,1,yes,3,1,1,yes
120000,7535,1,yes,2,1,1,yes
113000,1890,2,yes,3,1,1,yes
226700,9803,2,yes,3,2,2,yes
140000,9170,1,yes,2,2,2,yes
289000,15602,1,yes,1,2,3,yes
147000,2308,2,yes,3,2,2,yes
124500,7596,2,yes,4,2,2,yes
215000,9554,2,yes,3,2,2,yes
208300,7862,1,yes,2,2,2,yes
161000,9600,2,yes,3,2,2,yes
124500,9600,1,yes,3,1,2,yes
164900,14559,1,yes,2,1,2,yes
202665,6792,1,yes,2,2,2,yes
129900,9100,1,yes,3,2,2,yes
134000,9187,1,yes,3,2,1,yes
96500,10594,1.5,yes,2,1,1,no
402861,12220,1,yes,3,3,3,yes
158000,10448,NA,yes,3,2,2,yes
265000,10208,2,yes,3,3,2,yes
211000,9531,2,yes,3,2,3,yes
234000,10918,2,yes,3,1,1,yes
106250,10800,2,no,3,0,2,no
150000,11988,1,yes,3,1,1,yes
159000,5000,1.5,yes,3,2,2,yes
184750,40094,2,yes,3,3,4,yes
315750,11787,2,yes,3,3,3,yes
176000,7500,1,yes,3,2,2,yes
132000,13300,1,yes,2,1,1,yes
446261,14948,2,yes,3,3,3,yes
86000,9098,1,yes,2,0,2,yes
200624,32668,1,yes,4,2,4,yes
175000,10200,NA,yes,3,2,3,yes
128000,6155,2,yes,3,2,2,yes
107500,7200,1,no,2,1,1,yes
39300,5000,1,no,1,0,1,no
178000,9056,2,yes,3,2,2,yes
107500,7000,2,yes,3,0,2,yes
188000,8924,2,yes,3,2,2,yes
111250,12735,1,yes,3,2,1,yes
158000,11553,1,yes,3,1,1,yes
272000,11423,1,yes,3,2,3,yes
315000,14601,1,yes,2,3,3,yes
248000,11000,2,yes,4,3,2,yes
213250,10140,1,yes,3,2,3,yes
133000,4058,NA,yes,1,1,2,yes
179665,17104,2,yes,3,2,3,yes
229000,13837,1.5,yes,4,3,2,yes
210000,8737,1.5,yes,3,2,1,yes
129500,7244,NA,yes,2,2,2,yes
125000,8235,1,yes,2,2,2,yes
263000,9375,2,yes,4,2,2,yes
140000,4043,1,yes,2,2,2,yes
112500,6000,1,yes,3,1,1,yes
255500,11146,1,yes,3,3,2,yes
108000,8777,1,no,2,2,2,yes
284000,10625,2,yes,3,3,3,yes
113000,6380,1.5,yes,2,1,1,yes
141000,14850,1,yes,2,1,2,yes
108000,11040,1.5,yes,3,1,1,yes
175000,21872,2,yes,3,2,2,yes
234000,3196,1,yes,2,2,2,yes
121500,11341,1,yes,3,2,2,yes
170000,10010,1,yes,2,2,2,yes
108000,13907,1,yes,3,0,2,yes
185000,21780,1.5,yes,4,2,2,yes
268000,13346,2,yes,4,2,3,yes
128000,6858,2,yes,4,1,2,no
325000,11198,2,yes,4,3,2,yes
214000,10171,1,yes,3,2,2,yes
316600,12327,1.5,yes,1,2,2,yes
135960,7032,NA,yes,2,2,2,yes
142600,13101,1,yes,6,2,2,yes
120000,7332,1,yes,2,1,2,yes
224500,13159,2,yes,3,2,2,yes
170000,9967,NA,yes,3,2,2,yes
139000,10500,NA,yes,3,1,1,yes
118500,8480,1.5,yes,2,1,1,yes
145000,6292,1.5,yes,3,1,2,yes
164500,11777,NA,yes,3,2,2,yes
146000,3604,2,yes,2,2,2,yes
131500,12150,1.5,yes,4,1,2,no
181900,14585,1,yes,3,2,1,yes
253293,12704,1,yes,3,3,2,yes
118500,11841,NA,yes,3,0,2,yes
325000,13500,2.5,yes,3,2,3,yes
133000,6120,1.5,yes,3,1,1,yes
369900,11443,1,yes,2,3,3,yes
130000,10267,1,yes,2,1,2,yes
137000,8740,NA,yes,2,2,2,yes
143000,25095,1,yes,1,1,3,yes
79500,9100,1,yes,2,1,1,yes
185900,8320,2,yes,3,2,2,yes
451950,13478,2,yes,3,3,3,yes
138000,6600,1,yes,2,2,2,yes
140000,4435,1,yes,1,2,2,yes
110000,7990,1,yes,3,1,1,yes
319000,11302,1,yes,3,3,3,yes
114504,3600,2,yes,3,1,1,no
194201,3922,1,yes,2,3,0,yes
217500,12984,1,yes,3,2,3,yes
151000,1950,2,yes,3,2,3,yes
275000,10927,2,yes,3,2,3,yes
141000,9000,1.5,yes,3,1,1,yes
220000,10041,2,yes,3,2,3,yes
151000,3182,2,yes,2,2,2,yes
221000,12803,1,yes,3,2,3,yes
205000,13600,2,yes,3,2,2,yes
152000,12464,1,yes,3,2,2,yes
225000,7800,2,yes,3,1,4,yes
359100,12168,2,yes,4,2,2,yes
118500,7943,1,yes,3,1,2,yes
313000,11050,2,yes,3,3,3,yes
148000,10395,NA,yes,3,2,2,yes
261500,11885,2,yes,3,2,3,yes
147000,8402,1,yes,3,0,1,yes
75500,1491,NA,yes,1,0,2,yes
137500,8800,NA,yes,3,2,2,yes
183200,7861,2,yes,3,2,3,yes
105500,7227,1.5,yes,2,2,1,yes
314813,11694,1,yes,3,3,2,yes
305000,12244,2,yes,4,3,3,yes
67000,8248,1,yes,2,0,2,no
240000,10800,2,yes,4,2,2,yes
135000,7064,1,yes,3,2,1,yes
168500,2117,2,yes,2,2,2,yes
165150,10400,2,yes,4,2,2,yes
160000,10000,1,yes,3,2,1,yes
139900,12342,1,yes,3,1,1,yes
153000,9600,NA,yes,3,1,2,yes
135000,11606,2,yes,5,2,1,yes
168500,9020,NA,yes,3,2,2,yes
124000,9000,2,yes,3,1,1,yes
209500,4590,1,yes,2,2,2,yes
82500,11900,1,yes,3,2,2,yes
139400,9250,1,yes,3,1,1,yes
144000,6979,NA,yes,0,2,2,yes
200000,10896,2.5,yes,8,0,2,yes
60000,6120,1,yes,1,0,1,no
93000,6000,1.5,yes,3,1,2,yes
85000,8777,1,yes,2,0,1,yes
264561,3982,1,yes,1,3,3,yes
274000,12677,1,yes,1,2,1,yes
226000,7050,2,yes,3,2,3,yes
345000,13860,NA,yes,4,2,3,yes
152000,10793,2,yes,4,2,2,yes
370878,9187,1,yes,2,3,3,yes
143250,10530,1,yes,3,2,2,yes
98300,7200,1,no,3,2,1,yes
155000,10452,1,yes,3,2,1,yes
155000,7700,2,yes,4,2,1,yes
84500,1936,NA,yes,1,0,2,yes
205950,8125,2,yes,3,2,2,yes
108000,9084,2,yes,4,1,2,yes
191000,8750,2,yes,2,2,2,yes
135000,10320,1.5,yes,3,1,1,yes
350000,10437,1,yes,2,3,3,yes
88000,1680,2,yes,3,1,1,yes
145500,10007,1,yes,3,1,2,yes
149000,7200,2,yes,3,1,1,yes
97500,17503,1.5,yes,3,1,1,yes
167000,9937,1,yes,3,2,2,yes
197900,12384,2,yes,3,2,2,yes
402000,46589,2,yes,4,3,3,yes
110000,13560,1,yes,2,2,2,yes
137500,10012,NA,yes,3,2,3,yes
423000,20896,1,yes,1,3,2,yes
230500,11194,2,yes,3,2,2,yes
129000,18450,2,yes,3,2,2,yes
193500,8125,1,yes,3,2,3,yes
168000,14175,1,yes,3,2,2,yes
137500,11600,1,yes,2,1,1,yes
173500,8633,2,yes,3,2,3,yes
103600,6629,2,yes,3,1,3,no
165000,11250,1,yes,3,2,2,yes
257500,14442,1,yes,3,2,3,yes
140000,9200,1,yes,3,1,2,yes
148500,2289,2,yes,3,2,2,yes
87000,9600,2,yes,4,3,3,no
109500,9022,1,yes,2,1,1,yes
372500,11844,1,yes,3,3,2,yes
128500,9945,1,yes,3,2,2,yes
143000,8012,1,yes,2,1,2,yes
159434,4500,1.5,yes,3,1,1,yes
173000,2887,1,yes,2,2,2,yes
285000,11248,1,yes,3,3,3,yes
221000,16770,2,yes,4,2,2,yes
207500,5062,2,yes,3,2,3,yes
227875,10207,2,yes,3,2,3,yes
148800,5105,2,yes,2,2,2,yes
